ticket_id,subscriber_id,tower_id,opened_time,closed_time,ticket_type,priority,status,description,region
TKT-000001,SUB-00056,SW-TWR-001,2026-07-18T16:46:00,,NO_SERVICE,CRITICAL,IN_PROGRESS,Synthetic no service issue,Southwest
TKT-000002,SUB-00005,SW-TWR-003,2026-07-28T16:15:00,,NO_SERVICE,MEDIUM,IN_PROGRESS,Synthetic no service issue,Southwest
TKT-000003,SUB-00019,SE-TWR-003,2026-07-16T10:11:00,,SLOW_DATA,MEDIUM,OPEN,Synthetic slow data issue,Southeast
TKT-000004,SUB-00071,MW-TWR-002,2026-07-27T20:44:00,,NO_SERVICE,LOW,IN_PROGRESS,Synthetic no service issue,Midwest
TKT-000005,SUB-00021,NW-TWR-003,2026-07-04T13:25:00,2026-07-06T09:25:00,CALL_QUALITY,LOW,RESOLVED,Synthetic call quality issue,Northwest
TKT-000006,SUB-00033,MW-TWR-001,2026-07-17T01:46:00,2026-07-17T04:46:00,CALL_QUALITY,HIGH,RESOLVED,Synthetic call quality issue,Midwest
TKT-000007,SUB-00061,NW-TWR-001,2026-07-04T14:57:00,2026-07-07T08:57:00,SLOW_DATA,LOW,CLOSED,Synthetic slow data issue,Northwest
TKT-000008,SUB-00058,NW-TWR-002,2026-07-27T20:42:00,2026-07-28T16:42:00,BILLING_REVIEW,HIGH,RESOLVED,Synthetic billing review issue,Northwest
TKT-000009,SUB-00004,MW-TWR-001,2026-07-04T13:52:00,2026-07-05T08:52:00,ROAMING,LOW,RESOLVED,Synthetic roaming issue,Midwest
TKT-000010,SUB-00069,NW-TWR-001,2026-07-03T08:58:00,2026-07-04T02:58:00,ROAMING,HIGH,RESOLVED,Synthetic roaming issue,Northwest
TKT-000011,SUB-00003,SW-TWR-002,2026-07-23T19:42:00,2026-07-24T23:42:00,SLOW_DATA,LOW,CLOSED,Synthetic slow data issue,Southwest
TKT-000012,SUB-00088,MW-TWR-003,2026-07-02T14:31:00,2026-07-04T08:31:00,SLOW_DATA,CRITICAL,RESOLVED,Synthetic slow data issue,Midwest
TKT-000013,SUB-00050,SW-TWR-002,2026-07-03T00:09:00,2026-07-04T22:09:00,CALL_QUALITY,CRITICAL,CLOSED,Synthetic call quality issue,Southwest
TKT-000014,SUB-00015,MW-TWR-002,2026-07-04T19:28:00,2026-07-06T06:28:00,NO_SERVICE,CRITICAL,RESOLVED,Synthetic no service issue,Midwest
TKT-000015,SUB-00055,MW-TWR-002,2026-07-27T22:50:00,2026-07-28T11:50:00,SLOW_DATA,CRITICAL,RESOLVED,Synthetic slow data issue,Midwest
TKT-000016,SUB-00014,NW-TWR-002,2026-07-19T14:43:00,,SLOW_DATA,HIGH,OPEN,Synthetic slow data issue,Northwest
TKT-000017,SUB-00077,MW-TWR-003,2026-07-22T15:34:00,2026-07-22T19:34:00,SLOW_DATA,LOW,CLOSED,Synthetic slow data issue,Midwest
TKT-000018,SUB-00048,SE-TWR-003,2026-07-27T10:04:00,,BILLING_REVIEW,CRITICAL,IN_PROGRESS,Synthetic billing review issue,Southeast
TKT-000019,SUB-00074,SE-TWR-002,2026-07-22T10:54:00,,CALL_QUALITY,CRITICAL,IN_PROGRESS,Synthetic call quality issue,Southeast
TKT-000020,SUB-00077,SE-TWR-002,2026-07-16T17:20:00,,CALL_QUALITY,MEDIUM,IN_PROGRESS,Synthetic call quality issue,Southeast
TKT-000021,SUB-00058,NW-TWR-003,2026-07-25T14:37:00,2026-07-26T20:37:00,NO_SERVICE,LOW,RESOLVED,Synthetic no service issue,Northwest
TKT-000022,SUB-00043,SE-TWR-002,2026-07-15T13:27:00,,CALL_QUALITY,MEDIUM,IN_PROGRESS,Synthetic call quality issue,Southeast
TKT-000023,SUB-00062,NW-TWR-002,2026-07-06T18:34:00,2026-07-09T04:34:00,ROAMING,HIGH,RESOLVED,Synthetic roaming issue,Northwest
TKT-000024,SUB-00038,SW-TWR-003,2026-07-19T13:17:00,,CALL_QUALITY,CRITICAL,OPEN,Synthetic call quality issue,Southwest
TKT-000025,SUB-00093,MW-TWR-001,2026-07-26T17:27:00,,NO_SERVICE,MEDIUM,IN_PROGRESS,Synthetic no service issue,Midwest
TKT-000026,SUB-00091,MW-TWR-001,2026-07-20T09:10:00,2026-07-21T12:10:00,NO_SERVICE,HIGH,RESOLVED,Synthetic no service issue,Midwest
TKT-000027,SUB-00035,MW-TWR-003,2026-07-09T20:02:00,2026-07-10T00:02:00,NO_SERVICE,CRITICAL,CLOSED,Synthetic no service issue,Midwest
TKT-000028,SUB-00043,MW-TWR-002,2026-07-05T20:53:00,,SLOW_DATA,LOW,OPEN,Synthetic slow data issue,Midwest
TKT-000029,SUB-00073,NW-TWR-003,2026-07-04T17:39:00,2026-07-05T21:39:00,CALL_QUALITY,MEDIUM,CLOSED,Synthetic call quality issue,Northwest
TKT-000030,SUB-00093,SW-TWR-001,2026-07-23T07:38:00,2026-07-25T14:38:00,SLOW_DATA,LOW,RESOLVED,Synthetic slow data issue,Southwest
TKT-000031,SUB-00031,MW-TWR-003,2026-07-20T21:16:00,2026-07-22T01:16:00,ROAMING,HIGH,CLOSED,Synthetic roaming issue,Midwest
TKT-000032,SUB-00092,MW-TWR-001,2026-07-13T02:16:00,,BILLING_REVIEW,LOW,IN_PROGRESS,Synthetic billing review issue,Midwest
TKT-000033,SUB-00075,NW-TWR-003,2026-07-19T08:29:00,2026-07-21T02:29:00,NO_SERVICE,HIGH,RESOLVED,Synthetic no service issue,Northwest
TKT-000034,SUB-00063,NW-TWR-001,2026-07-08T13:44:00,2026-07-09T08:44:00,NO_SERVICE,MEDIUM,RESOLVED,Synthetic no service issue,Northwest
TKT-000035,SUB-00071,NW-TWR-001,2026-07-21T21:31:00,,NO_SERVICE,MEDIUM,IN_PROGRESS,Synthetic no service issue,Northwest
