tower_id,region,city,latitude,longitude,capacity_sessions,commissioned_date,technology,status
NW-TWR-001,Northwest,Bellevue,44.650819,-96.458661,7500,2019-04-08,5G,ACTIVE
NW-TWR-002,Northwest,Bellevue,34.586913,-113.386939,3500,2022-02-17,5G,ACTIVE
NW-TWR-003,Northwest,Bellevue,42.790277,-108.926647,5000,2017-05-22,4G,MAINTENANCE
MW-TWR-001,Midwest,Chicago,41.330039,-85.941881,7500,2020-05-15,5G,MAINTENANCE
MW-TWR-002,Midwest,Chicago,44.315227,-104.192785,7500,2022-08-20,5G,ACTIVE
MW-TWR-003,Midwest,Chicago,41.350961,-119.999289,2500,2018-11-15,5G,ACTIVE
SW-TWR-001,Southwest,Dallas,43.788793,-111.197521,7500,2023-02-04,5G,ACTIVE
SW-TWR-002,Southwest,Dallas,43.962056,-107.077822,7500,2019-11-14,5G,ACTIVE
SW-TWR-003,Southwest,Dallas,40.251207,-89.715387,5000,2017-10-26,5G,ACTIVE
SE-TWR-001,Southeast,Atlanta,32.25213,-103.062587,2500,2022-08-28,5G,ACTIVE
SE-TWR-002,Southeast,Atlanta,39.716969,-112.845656,7500,2022-12-30,5G,MAINTENANCE
SE-TWR-003,Southeast,Atlanta,36.614176,-97.268795,5000,2019-10-21,5G,ACTIVE
